,Track name,artists,genre,Likes
369,Playing God,Paramore,Alt. Rock,DISLIKE
370,The Only Exception,Paramore,Alt. Rock,DISLIKE
371,Ain't It Fun,Paramore,Alt. Rock,DISLIKE
372,Still into You,Paramore,Alt. Rock,DISLIKE
373,Hard Times,Paramore,Alt. Rock,DISLIKE
374,Alive,Pearl Jam,Alt. Rock,DISLIKE
375,Black,Pearl Jam,Alt. Rock,DISLIKE
376,Even Flow,Pearl Jam,Alt. Rock,DISLIKE
377,Jeremy,Pearl Jam,Alt. Rock,DISLIKE
378,Yellow Ledbetter,Pearl Jam,Alt. Rock,DISLIKE
379,Daughter,Pearl Jam,Alt. Rock,DISLIKE
380,Better Man,Pearl Jam,Alt. Rock,DISLIKE
381,Corduroy - Remastered,Pearl Jam,Alt. Rock,DISLIKE
382,Given to Fly,Pearl Jam,Alt. Rock,DISLIKE
383,Last Kiss,Pearl Jam,Alt. Rock,DISLIKE
384,West End Girls - 2018 Remaster,Pet Shop Boys,Alt. Rock,DISLIKE
385,Always on My Mind - 2003 Remaster,Pet Shop Boys,Alt. Rock,DISLIKE
386,It's a Sin - 2018 Remaster,Pet Shop Boys,Alt. Rock,DISLIKE
387,Gigantic - 2007 Remaster,Pixies,Alt. Rock,DISLIKE
388,Hey,Pixies,Alt. Rock,DISLIKE
389,Where Is My Mind?,Pixies,Alt. Rock,DISLIKE
390,Caribou,Pixies,Alt. Rock,DISLIKE
391,Debaser,Pixies,Alt. Rock,DISLIKE
392,Here Comes Your Man,Pixies,Alt. Rock,DISLIKE
393,I Bleed,Pixies,Alt. Rock,DISLIKE
394,Monkey Gone to Heaven,Pixies,Alt. Rock,DISLIKE
395,Wave Of Mutilation,Pixies,Alt. Rock,DISLIKE
396,Cactus - 2007 Remaster,Pixies,Alt. Rock,DISLIKE
397,Glory Box,Portishead,Alt. Rock,DISLIKE
398,Mysterons,Portishead,Alt. Rock,DISLIKE
399,Numb,Portishead,Alt. Rock,DISLIKE
400,Roads,Portishead,Alt. Rock,DISLIKE
401,Sour Times,Portishead,Alt. Rock,DISLIKE
402,Wandering Star,Portishead,Alt. Rock,DISLIKE
403,All Mine,Portishead,Alt. Rock,DISLIKE
404,Machine Gun,Portishead,Alt. Rock,DISLIKE
